"id","exam_name","exam_date","exam_time","exam_room"
1,"Math Midterm","2023-02-15","09:00:00","Room A"
2,"History Final","2023-03-10","14:30:00","Room B"
3,"Physics Quiz","2023-02-20","11:15:00","Room C"
4,"Chemistry Lab Exam","2023-03-05","10:00:00","Room D"
5,"English Essay","2023-02-25","13:45:00","Room E"
6,"Biology Practical","2023-03-15","15:30:00","Room F"
7,"Computer Science Coding Exam","2023-02-18","12:30:00","Room G"
8,"Art History Presentation","2023-03-08","14:00:00","Room H"
9,"Spanish Conversation Test","2023-02-28","10:45:00","Room I"
10,"Music Theory Exam","2023-03-20","16:00:00","Room J"
11,"Political Science Midterm","2023-02-22","09:30:00","Room K"
12,"Geography Map Test","2023-03-12","11:00:00","Room L"
13,"Economics Final","2023-03-01","15:15:00","Room M"
14,"Psychology Research Paper","2023-03-18","13:00:00","Room N"
15,"Physical Education Practical","2023-02-24","08:45:00","Room O"
16,"Engineering Design Exam","2023-03-14","12:15:00","Room P"
17,"French Language Proficiency","2023-03-03","14:45:00","Room Q"
18,"Sociology Group Discussion","2023-02-27","16:30:00","Room R"
19,"Environmental Science Quiz","2023-03-16","10:30:00","Room S"
20,"Drama Performance Assessment","2023-03-06","11:45:00","Room T"
